Place,Team,GP,W,D,L,GF,GA,P,Year,,,,,,
1,ARS,38,26,9,3,79,36,87,2001,,,,,,
2,LIV,38,24,8,6,67,30,80,2001,,,,,,
3,MAN,38,24,5,9,87,45,77,2001,,,,,,
4,NEW,38,21,8,9,74,52,71,2001,,,,,,
5,LEE,38,18,12,8,53,37,66,2001,,,,,,
6,CHE,38,17,13,8,66,38,64,2001,,,,ARS,,ARS
7,WHU,38,15,8,15,48,57,53,2001,,,,LIV,,AVL
8,AVL,38,12,14,12,46,47,50,2001,,,,MAN,,BHA
9,TOT,38,14,8,16,49,53,50,2001,,,,NEW,,BIR
10,BLK,38,12,10,16,55,51,46,2001,,,,LEE,,BLK
11,SOU,38,12,9,17,46,54,45,2001,,,,CHE,,BLP
12,MID,38,12,9,17,35,47,45,2001,,,,WHU,,BOL
13,FUL,38,10,14,14,36,44,44,2001,,,,AVL,,BOU
14,CHA,38,10,14,14,38,49,44,2001,,,,TOT,,BRE
15,EVE,38,11,10,17,45,57,43,2001,,,,BLK,,BUR
16,BOL,38,9,13,16,44,62,40,2001,,,,SOU,,CAR
17,SUN,38,10,10,18,29,51,40,2001,,,,MID,,CHA
18,IPS,38,9,9,20,41,64,36,2001,,,,FUL,,CHE
19,DER,38,8,6,24,33,63,30,2001,,,,CHA,,CRY
20,LEI,38,5,13,20,30,64,28,2001,,,,EVE,,DER
1,MAN,38,25,8,5,74,34,83,2002,,,,BOL,,EVE
2,ARS,38,23,9,6,85,42,78,2002,,,,SUN,,FUL
3,NEW,38,21,6,11,63,48,69,2002,,,,IPS,,HUD
4,CHE,38,19,10,9,68,38,67,2002,,,,DER,,HUL
5,LIV,38,18,10,10,61,41,64,2002,,,,LEI,,IPS
6,BLK,38,16,12,10,52,43,60,2002,,,,MNC,,LEE
7,EVE,38,17,8,13,48,49,59,2002,,,,BIR,,LEI
8,SOU,38,13,13,12,43,46,52,2002,,,,WBA,,LIV
9,MNC,38,15,6,17,47,54,51,2002,,,,POR,,MAN
10,TOT,38,14,8,16,51,62,50,2002,,,,WOL,,MID
11,MID,38,13,10,15,48,44,49,2002,,,,CRY,,MNC
12,CHA,38,14,7,17,45,56,49,2002,,,,NOR,,NEW
13,BIR,38,13,9,16,41,49,48,2002,,,,WGA,,NOR
14,FUL,38,13,9,16,41,50,48,2002,,,,REA,,POR
15,LEE,38,14,5,19,58,57,47,2002,,,,SHU,,QPR
16,AVL,38,12,9,17,42,47,45,2002,,,,WAT,,REA
17,BOL,38,10,14,14,41,51,44,2002,,,,STK,,SHU
18,WHU,38,10,12,16,42,59,42,2002,,,,HUL,,SOU
19,WBA,38,6,8,24,29,65,26,2002,,,,BUR,,STK
20,SUN,38,4,7,27,21,65,19,2002,,,,BLP,,SUN
1,ARS,38,26,12,0,73,26,90,2003,,,,SWA,,SWA
2,CHE,38,24,7,7,67,30,79,2003,,,,QPR,,TOT
3,MAN,38,23,6,9,64,35,75,2003,,,,CAR,,WAT
4,LIV,38,16,12,10,55,37,60,2003,,,,BOU,,WBA
5,NEW,38,13,17,8,52,40,56,2003,,,,BHA,,WGA
6,AVL,38,15,11,12,48,44,56,2003,,,,HUD,,WHU
7,CHA,38,14,11,13,51,51,53,2003,,,,BRE,,WOL
8,BOL,38,14,11,13,48,56,53,2003,,,,,,
9,FUL,38,14,10,14,52,46,52,2003,,,,,,
10,BIR,38,12,14,12,43,48,50,2003,,,,,,
11,MID,38,13,9,16,44,52,48,2003,,,,,,
12,SOU,38,12,11,15,44,45,47,2003,,,,,,
13,POR,38,12,9,17,47,54,45,2003,,,,,,
14,TOT,38,13,6,19,47,57,45,2003,,,,,,
15,BLK,38,12,8,18,51,59,44,2003,,,,,,
16,MNC,38,9,14,15,55,54,41,2003,,,,,,
17,EVE,38,9,12,17,45,57,39,2003,,,,,,
18,LEI,38,6,15,17,48,65,33,2003,,,,,,
19,LEE,38,8,9,21,40,79,33,2003,,,,,,
20,WOL,38,7,12,19,38,77,33,2003,,,,,,
1,CHE,38,29,8,1,72,15,95,2004,,,,,,
2,ARS,38,25,8,5,87,36,83,2004,,,,,,
3,MAN,38,22,11,5,58,26,77,2004,,,,,,
4,EVE,38,18,7,13,45,46,61,2004,,,,,,
5,LIV,38,17,7,14,52,41,58,2004,,,,,,
6,BOL,38,16,10,12,49,44,58,2004,,,,,,
7,MID,38,14,13,11,53,46,55,2004,,,,,,
8,MNC,38,13,13,12,47,39,52,2004,,,,,,
9,TOT,38,14,10,14,47,41,52,2004,,,,,,
